artist,title,shazam_track_id,confidence,support,first_seen_sec,last_seen_sec,video_id,source_audio
Steve Aoki & Nicky Romero,Day & Night,843970269,1.0,8,240,400,X-oA2ZLVswE,source.mp3
Steve Aoki & Nicky Romero,Higher off the Ground,843181332,1.0,8,440,600,X-oA2ZLVswE,source.mp3
Steve Aoki,Talk About Love (FaderX Remix) [feat. Leah Kate],826632862,1.0,8,840,980,X-oA2ZLVswE,source.mp3
Cascada & Steve Aoki,Everytime We Touch - Single,837301707,1.0,7,1960,2080,X-oA2ZLVswE,source.mp3
The Goo Goo Dolls,Iris,238534,1.0,6,2140,2260,X-oA2ZLVswE,source.mp3
"Steve Aoki, Blasterjaxx & Lil Jon",Get Down,839492517,1.0,5,1060,1160,X-oA2ZLVswE,source.mp3
Laidback Luke & Steve Aoki,Turbulence (feat. Lil Jon),53331707,1.0,4,640,740,X-oA2ZLVswE,source.mp3
"Alan Walker, Steve Aoki, Lonely Club & Arash",Broken Angel (This is Lonely Club),845413910,1.0,3,1460,1500,X-oA2ZLVswE,source.mp3
Steve Aoki & Louis Tomlinson,Just Hold On (Steve Aoki Festival Edit),343722428,0.667,2,780,800,X-oA2ZLVswE,source.mp3
"Dimitri Vegas & Like Mike, Tiësto & Dido",Thank You (Not So Bad),683595570,0.667,2,1040,1320,X-oA2ZLVswE,source.mp3
"3 Are Legend, Timbaland & W&W",Cry Me A River,832969818,0.667,2,1300,1360,X-oA2ZLVswE,source.mp3
TWICE,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG) [from the Netflix film ""KPop Demon Hunters""]",828252572,0.667,2,1600,1620,X-oA2ZLVswE,source.mp3
Swedish House Mafia,Don't You Worry Child (feat. John Martin),65687098,0.667,2,2540,2560,X-oA2ZLVswE,source.mp3
OneRepublic & Alesso,If I Lose Myself (Alesso vs OneRepublic),90964869,0.667,2,2600,2620,X-oA2ZLVswE,source.mp3
Franko Ovalles,Europa,158070144,0.333,1,60,60,X-oA2ZLVswE,source.mp3
Benjamin Bates,Layzor,93377079,0.333,1,140,140,X-oA2ZLVswE,source.mp3
Boris Brejcha,Hashtag (Original Mix),358461807,0.333,1,300,300,X-oA2ZLVswE,source.mp3
Maae,The Man,145852036,0.333,1,420,420,X-oA2ZLVswE,source.mp3
Swifty,B2f,460311856,0.333,1,620,620,X-oA2ZLVswE,source.mp3
Notmuchxhead,Super Fenix Ritmada,854856112,0.333,1,1280,1280,X-oA2ZLVswE,source.mp3
David Guetta & OneRepublic,I Don't Wanna Wait (Hardwell & Olly James Remix),699205306,0.333,1,1340,1340,X-oA2ZLVswE,source.mp3
Justin Timberlake,Cry Me a River,40004391,0.333,1,1380,1380,X-oA2ZLVswE,source.mp3
David Rull,Here & Now (Jonny Hinde Remix) (feat. Christina Kokai),62637084,0.333,1,1400,1400,X-oA2ZLVswE,source.mp3
Distorted Anima,One More F**k Before I Go,524183174,0.333,1,1420,1420,X-oA2ZLVswE,source.mp3
"Alan Walker, Steve Aoki, Lonely Club & Arash",Broken Angel (This is Lonely Club) [Lonely Club Live Mix],853348033,0.333,1,1560,1560,X-oA2ZLVswE,source.mp3
Jordanx,RAVE ON,713533262,0.333,1,1640,1640,X-oA2ZLVswE,source.mp3
Cascada,Everytime We Touch (Hardwell & Maurice West Remix),434045680,0.333,1,2100,2100,X-oA2ZLVswE,source.mp3
Cascada & Steve Aoki,Everytime We Touch (Extended Mix),837675439,0.333,1,2120,2120,X-oA2ZLVswE,source.mp3
dep,Goo Goo Dolls,426934702,0.333,1,2220,2220,X-oA2ZLVswE,source.mp3
Krazee,See You Again (Bonus Track),402419747,0.333,1,2680,2680,X-oA2ZLVswE,source.mp3
Wiz Khalifa,See You Again (feat. Charlie Puth),235243031,0.333,1,2700,2700,X-oA2ZLVswE,source.mp3
